# t AFE1_1	AFE1_2	AFE1_3	AFE1_4	AFE2_1	AFE2_2	AFE2_3	AFE2_4	AFE3_1	AFE3_2	AFE3_3	AFE3_4	AFE4_1	AFE4_2	AFE4_3	AFE4_4	
712 -6.408692E-5 0.009173584 0.010922241 0.0087158205 0.0 0.0 0.0 0.0 -0.0058959965 -0.013046265 -0.011407471 -0.0061843875 0.004774475 0.0015838624 0.010386658 8.1481936E-4 
714 3.5247803E-4 0.009521484 0.011320496 0.009072877 0.0 0.0 0.0 0.0 -0.0037719728 -0.010638428 -0.008811951 -0.0033920289 0.006349182 0.003025818 0.011604309 0.0020278932 
716 -9.7503664E-4 0.008459473 0.010597229 0.008688355 0.0 0.0 0.0 0.0 -0.005511475 -0.012744141 -0.011109925 -0.005978394 0.005433655 0.002078247 0.010894775 0.0012405396 
718 0.002810669 0.011938477 0.013352967 0.01086731 0.0 0.0 0.0 0.0 -0.0047882083 -0.011842347 -0.0100891115 -0.004714966 0.0057724 0.0024856569 0.011128235 0.0016479492 
720 0.001702881 0.010835267 0.01247406 0.010258484 0.0 0.0 0.0 0.0 -0.005259705 -0.012400818 -0.010729981 -0.0054840087 0.005964661 0.0025909424 0.011329651 0.0017669678 
722 5.218506E-4 0.009851075 0.011695862 0.00954895 0.0 0.0 0.0 0.0 -0.005131531 -0.012263489 -0.010491944 -0.005319214 0.0050628665 0.0018722535 0.010588074 0.0010482789 
724 1.5106202E-4 0.009397889 0.011251831 0.009205627 0.0 0.0 0.0 0.0 -0.004701233 -0.011810303 -0.01005249 -0.0047561647 0.007003784 0.0035614015 0.012135316 0.0025314332 
726 -4.6234133E-4 0.0088623045 0.010629273 0.008450317 0.0 0.0 0.0 0.0 -0.0046188356 -0.011700439 -0.010006714 -0.0047882083 0.0052139284 0.0019592287 0.010661316 0.0011535644 
728 -3.0670167E-4 0.008885193 0.010697938 0.008509827 0.0 0.0 0.0 0.0 -0.0056030275 -0.012721253 -0.010949708 -0.0056579593 0.0053375247 0.0020324707 0.010775757 0.0012176514 
730 -0.0013092041 0.008029175 0.010057068 0.008253479 0.0 0.0 0.0 0.0 -0.004563904 -0.011549378 -0.009855652 -0.004623413 0.0058410647 0.0025268556 0.011206055 0.0016067505 
732 0.0024261475 0.011457825 0.012867738 0.010414124 0.0 0.0 0.0 0.0 -0.005030823 -0.012158204 -0.010464477 -0.005126953 0.0055526732 0.0023620606 0.011091614 0.001524353 
734 0.0020965578 0.011247254 0.012776185 0.010487366 0.0 0.0 0.0 0.0 -0.005049133 -0.012144471 -0.010478211 -0.0051498413 0.0061706547 0.0029251098 0.01156311 0.0018676758 
736 0.0013320923 0.010551453 0.012263489 0.010180664 0.0 0.0 0.0 0.0 -0.0055435183 -0.012734986 -0.01102295 -0.0058410647 0.005255127 0.002005005 0.010716247 0.0012313843 
738 6.6833495E-4 0.009924317 0.011709595 0.009480285 0.0 0.0 0.0 0.0 -0.003657532 -0.010482788 -0.008706666 -0.003327942 0.0067016603 0.0033050538 0.011929322 0.002320862 
740 -2.3345948E-4 0.008944702 0.010839844 0.008747864 0.0 0.0 0.0 0.0 -0.0051361085 -0.012226868 -0.010528564 -0.0052917483 0.0054061892 0.0020599365 0.010844422 0.0012542725 
742 -7.919312E-4 0.00844574 0.010336304 0.008203126 0.0 0.0 0.0 0.0 -0.0054428102 -0.012547303 -0.010858155 -0.0056030275 0.0056808474 0.0023345947 0.011114502 0.001638794 
744 -0.0010528564 0.008404541 0.01028595 0.008180237 0.0 0.0 0.0 0.0 -0.004916382 -0.011929322 -0.010212707 -0.0050354004 0.0058914186 0.0025634766 0.01131134 0.0017166138 
746 0.0017120362 0.010922241 0.012597657 0.010198975 0.0 0.0 0.0 0.0 -0.0051177978 -0.012194824 -0.010496521 -0.005223084 0.0050079348 0.0018264771 0.01051941 0.0010894776 
749 0.002041626 0.011004639 0.0123641975 0.009786988 0.0 0.0 0.0 0.0 -0.0049484256 -0.012025452 -0.0103408815 -0.005053711 0.0069351196 0.003529358 0.012089539 0.0025039674 
751 7.0495607E-4 0.009681702 0.011686707 0.0097640995 0.0 0.0 0.0 0.0 -0.0054061892 -0.012565613 -0.010945129 -0.005612183 0.004527283 0.0013137817 0.010176087 6.7749026E-4 
753 7.5531006E-4 0.009855652 0.011791993 0.009594726 0.0 0.0 0.0 0.0 -0.0049850466 -0.012025452 -0.0102676395 -0.004916382 0.005506897 0.0022018433 0.011050415 0.001437378 
755 0.0023162842 0.010908509 0.012052918 0.009535218 0.0 0.0 0.0 0.0 -0.004147339 -0.011132813 -0.009320068 -0.00393219 0.006051636 0.002737427 0.011448669 0.0018173219 
757 -0.0020233155 0.0068252566 0.009182739 0.008230591 0.0 0.0 0.0 0.0 -0.0047561647 -0.01187439 -0.010079957 -0.0047195437 0.0055984496 0.0023025514 0.011100769 0.0015609742 
759 3.1585695E-4 0.009260559 0.01127472 0.009242249 0.0 0.0 0.0 0.0 -0.005126953 -0.012208558 -0.010546875 -0.0052917483 0.0059097293 0.0025360107 0.011302185 0.0017074585 
761 5.859375E-4 0.0097640995 0.011517334 0.009306336 0.0 0.0 0.0 0.0 -0.005419922 -0.012538147 -0.010798645 -0.0056259157 0.005360413 0.0020507814 0.010748291 0.0013229371 
763 4.348755E-4 0.00960846 0.01137085 0.0091140745 0.0 0.0 0.0 0.0 -0.00493927 -0.012025452 -0.010272217 -0.0049850466 0.0055435183 0.002330017 0.011018372 0.0015106201 
765 6.1798096E-4 0.009649659 0.011338807 0.009237671 0.0 0.0 0.0 0.0 -0.0043029785 -0.011325073 -0.00960846 -0.004353333 0.006330872 0.0031402588 0.0117553715 0.0021835328 
767 2.3345948E-4 0.009375 0.011288452 0.009196472 0.0 0.0 0.0 0.0 -0.00552063 -0.012611389 -0.011027527 -0.0057769776 0.0049987794 0.0018997192 0.010638428 0.0011535644 
769 8.9721684E-4 0.010203552 0.012002564 0.009631348 0.0 0.0 0.0 0.0 -0.00476532 -0.011705018 -0.009919739 -0.0046096803 0.0058319094 0.0026046752 0.01131134 0.0016983033 
771 0.001020813 0.010432434 0.012066651 0.00962677 0.0 0.0 0.0 0.0 -0.004930115 -0.012034607 -0.010377503 -0.005003357 0.005529785 0.0023162842 0.01104126 0.0015289307 
773 0.0020324707 0.011068726 0.01237793 0.00986023 0.0 0.0 0.0 0.0 -0.004838562 -0.011846924 -0.010112 -0.0048294067 0.0058914186 0.0026916505 0.0112838745 0.0017440796 
775 0.0012405396 0.0102676395 0.011947632 0.009928894 0.0 0.0 0.0 0.0 -0.0051132203 -0.012272645 -0.01061554 -0.00526886 0.006111145 0.0027923584 0.01152649 0.001876831 
777 -4.3029786E-4 0.008729554 0.010601806 0.008633423 0.0 0.0 0.0 0.0 -0.0059188846 -0.013110352 -0.011531067 -0.0062438967 0.0045959475 0.0014556885 0.010221863 7.965088E-4 
779 4.6234133E-4 0.009594726 0.011448669 0.009265137 0.0 0.0 0.0 0.0 -0.004838562 -0.011833191 -0.010029602 -0.004600525 0.0060928348 0.0026504516 0.011302185 0.0016845703 
781 7.2784425E-4 0.009915161 0.011709595 0.009461976 0.0 0.0 0.0 0.0 -0.0046920776 -0.011705018 -0.010029602 -0.004627991 0.005671692 0.0023529052 0.01096344 0.0015838624 
783 8.605957E-4 0.010006714 0.011837769 0.009562683 0.0 0.0 0.0 0.0 -0.004724121 -0.011837769 -0.009997559 -0.0046554566 0.005799866 0.0027145387 0.011508179 0.001954651 
785 6.317139E-4 0.00987854 0.011659241 0.009411621 0.0 0.0 0.0 0.0 -0.0049255374 -0.012043763 -0.01036377 -0.005067444 0.0064086914 0.0032546998 0.011938477 0.0021331788 
787 0.0013641358 0.010418701 0.012011719 0.009562683 0.0 0.0 0.0 0.0 -0.005305481 -0.012387086 -0.010762024 -0.0054244995 0.005255127 0.0019271851 0.010697938 0.0012039185 
789 0.0019042969 0.011004639 0.0125106815 0.010148621 0.0 0.0 0.0 0.0 -0.004852295 -0.011869812 -0.010148621 -0.004737854 0.0059463503 0.0026916505 0.011412049 0.0018722535 
791 2.1057129E-4 0.009397889 0.011219787 0.009095765 0.0 0.0 0.0 0.0 -0.0042297365 -0.011270142 -0.009599305 -0.004389954 0.0067977905 0.003630066 0.012309265 0.0027282715 
793 5.950928E-5 0.00927887 0.011164856 0.009022522 0.0 0.0 0.0 0.0 -0.005960083 -0.013238526 -0.011677551 -0.0064086914 0.0050857547 0.0018447876 0.010565186 0.0010665894 
795 5.447388E-4 0.009754944 0.011503601 0.009333801 0.0 0.0 0.0 0.0 -0.004522705 -0.011585998 -0.009768677 -0.0043441774 0.0052093505 0.0018585206 0.010542298 0.0011123657 
797 7.232666E-4 0.009906006 0.011631775 0.00935669 0.0 0.0 0.0 0.0 -0.005204773 -0.0124053955 -0.0107803345 -0.0054061892 0.004714966 0.0010253907 0.009892273 6.820679E-4 
799 6.637573E-4 0.009919739 0.011485291 0.009333801 0.0 0.0 0.0 0.0 -0.0048339847 -0.011865235 -0.010171509 -0.004852295 0.00476532 6.317139E-4 0.009150696 1.1444092E-4 
801 -9.887696E-4 0.00827179 0.010491944 0.008738709 0.0 0.0 0.0 0.0 -0.0047561647 -0.011723328 -0.009933472 -0.0046966556 0.007452393 0.0043029785 0.01303711 0.0033096315 
803 0.0017120362 0.010794068 0.012341309 0.009960937 0.0 0.0 0.0 0.0 -0.005223084 -0.012341309 -0.010729981 -0.0055023194 0.0053512575 0.0016204835 0.010217286 6.9122313E-4 
805 8.1481936E-4 0.010006714 0.011668396 0.00953064 0.0 0.0 0.0 0.0 -0.005635071 -0.012730408 -0.011109925 -0.0058547975 0.005296326 0.0020278932 0.010775757 0.0014694214 
807 1.8768311E-4 0.009457397 0.0112106325 0.009077454 0.0 0.0 0.0 0.0 -0.004138184 -0.011050415 -0.009242249 -0.0039505004 0.006678772 0.0034515383 0.0120803835 0.0023986816 
809 3.9367678E-4 0.009516907 0.011329651 0.009205627 0.0 0.0 0.0 0.0 -0.005671692 -0.012675476 -0.01111908 -0.005786133 0.00493927 0.0017532349 0.010588074 0.0012359619 
811 6.5002445E-4 0.009809876 0.011553955 0.009352112 0.0 0.0 0.0 0.0 -0.0046325685 -0.011695862 -0.009970093 -0.004724121 0.0048843385 0.0017623901 0.010569763 0.001171875 
813 6.1340333E-4 0.00980072 0.011576843 0.00935669 0.0 0.0 0.0 0.0 -0.0052139284 -0.012272645 -0.010597229 -0.0052734376 0.005548096 0.0022613525 0.011036682 0.0014739991 
815 -6.7291263E-4 0.008560181 0.010647583 0.008711243 0.0 0.0 0.0 0.0 -0.0054473877 -0.012538147 -0.010881043 -0.005511475 0.0042251586 0.0011489869 0.009938049 4.4860842E-4 
817 0.0019226074 0.0110321045 0.012423706 0.00995636 0.0 0.0 0.0 0.0 -0.004083252 -0.011109925 -0.009265137 -0.0039001466 0.007159424 0.0036437989 0.012199402 0.0023941041 
819 9.979248E-4 0.010139465 0.011791993 0.009503174 0.0 0.0 0.0 0.0 -0.0059188846 -0.01313324 -0.0115448 -0.0063583376 0.0056259157 0.0024353028 0.011077881 0.001689148 
821 4.3945314E-4 0.009663391 0.011508179 0.009375 0.0 0.0 0.0 0.0 -0.0045410157 -0.011654663 -0.009809876 -0.004472351 0.006756592 0.0034378052 0.011988831 0.0023849488 
823 7.7819824E-4 0.009915161 0.011714173 0.009466553 0.0 0.0 0.0 0.0 -0.0050399783 -0.0121536255 -0.010501099 -0.005067444 0.0058776857 0.0025222779 0.01129303 0.0018722535 
825 6.042481E-4 0.009851075 0.011576843 0.009365845 0.0 0.0 0.0 0.0 -0.004994202 -0.012034607 -0.01038208 -0.004911804 0.0054244995 0.0022659302 0.010977173 0.0013916016 
828 2.746582E-4 0.009516907 0.011320496 0.009187317 0.0 0.0 0.0 0.0 -0.005154419 -0.012199402 -0.010533142 -0.005259705 0.0045364383 0.0012542725 0.009974671 4.0740968E-4 
830 -6.362915E-4 0.008683777 0.010647583 0.008688355 0.0 0.0 0.0 0.0 -0.0056762695 -0.012767029 -0.011109925 -0.005859375 0.0044448855 0.0013229371 0.010153199 6.362915E-4 
832 0.0022018433 0.011270142 0.012821961 0.010372925 0.0 0.0 0.0 0.0 -0.004220581 -0.011141968 -0.009301758 -0.0040145875 0.0064956667 0.003048706 0.011682129 0.0019821168 
834 3.707886E-4 0.0095123295 0.011329651 0.009191895 0.0 0.0 0.0 0.0 -0.0059143067 -0.013027955 -0.011508179 -0.0062805177 0.005570984 0.0023529052 0.0111053465 0.0016433717 
836 6.317139E-4 0.00970459 0.011540222 0.009361267 0.0 0.0 0.0 0.0 -0.004664612 -0.011709595 -0.009928894 -0.004637146 0.0061843875 0.0029022216 0.011572266 0.0019500733 
838 8.834839E-4 0.010112 0.011814881 0.009535218 0.0 0.0 0.0 0.0 -0.005264282 -0.012295533 -0.010624695 -0.0053741457 0.006504822 0.0031311037 0.0118606575 0.0022476197 
840 0.0010803223 0.010148621 0.0118606575 0.009640503 0.0 0.0 0.0 0.0 -0.0049621584 -0.012071229 -0.010272217 -0.00493927 0.004916382 0.0017669678 0.010496521 0.0010894776 
842 5.264282E-4 0.0097640995 0.011489868 0.009315491 0.0 0.0 0.0 0.0 -0.004376221 -0.011306763 -0.009580994 -0.0042160037 0.006381226 0.0030349733 0.011723328 0.0021011352 
844 -4.5776367E-4 0.008976745 0.010848999 0.0088211065 0.0 0.0 0.0 0.0 -0.0045181275 -0.011572266 -0.009786988 -0.004550171 0.005259705 0.0020187378 0.010826111 0.0012496948 
846 0.0023025514 0.011265564 0.012799073 0.010221863 0.0 0.0 0.0 0.0 -0.006037903 -0.01328888 -0.011654663 -0.006477356 0.004879761 0.0016708374 0.010450745 8.9721684E-4 
848 1.2817384E-4 0.009379578 0.011160279 0.0090271 0.0 0.0 0.0 0.0 -0.0045364383 -0.011521912 -0.00978241 -0.00451355 0.0054611205 0.002256775 0.01102295 0.0014785767 
850 1.739502E-4 0.009338379 0.0111053465 0.008976745 0.0 0.0 0.0 0.0 -0.0050720214 -0.012162781 -0.010523987 -0.0052001956 0.0055435183 0.0022247315 0.0109588625 0.0014465332 
852 7.18689E-4 0.009938049 0.011709595 0.009411621 0.0 0.0 0.0 0.0 -0.0049255374 -0.011906434 -0.010203552 -0.0048843385 0.0065643312 0.0032684328 0.011938477 0.0023025514 
854 0.0010528564 0.010176087 0.011943054 0.009635925 0.0 0.0 0.0 0.0 -0.005204773 -0.012249757 -0.010601806 -0.005392456 0.005355835 0.0020599365 0.010798645 0.0013458253 
856 8.605957E-4 0.010121155 0.011732483 0.00960846 0.0 0.0 0.0 0.0 -0.0056625367 -0.012826539 -0.011141968 -0.005960083 0.0054290774 0.0021697998 0.010876465 0.0014007569 
858 -0.0010711671 0.008354187 0.010446168 0.0086425785 0.0 0.0 0.0 0.0 -0.0039962768 -0.010890198 -0.00904541 -0.0036254884 0.006619263 0.0033142092 0.011906434 0.0022979737 
860 0.0017578126 0.0108123785 0.012295533 0.009928894 0.0 0.0 0.0 0.0 -0.0056762695 -0.012826539 -0.011169434 -0.005996704 0.0056030275 0.0023025514 0.010949708 0.0013687134 
862 6.1798096E-4 0.009709167 0.011380005 0.009150696 0.0 0.0 0.0 0.0 -0.004774475 -0.011805725 -0.010093689 -0.0048294067 0.005369568 0.002156067 0.01086731 0.0014007569 
864 -7.324219E-5 0.009164429 0.010922241 0.008811951 0.0 0.0 0.0 0.0 -0.005090332 -0.0122818 -0.010514832 -0.00526886 0.0058319094 0.002609253 0.011343384 0.0016937256 
866 2.7008058E-4 0.009471131 0.011352539 0.009082031 0.0 0.0 0.0 0.0 -0.005548096 -0.012620545 -0.011004639 -0.005708313 0.0047470094 0.0015655519 0.010377503 9.063721E-4 
868 0.0012268067 0.01036377 0.01212616 0.009754944 0.0 0.0 0.0 0.0 -0.0040374757 -0.011073303 -0.009274292 -0.0039596558 0.0064498903 0.0032546998 0.011956788 0.0022888184 
870 0.001171875 0.010350036 0.012052918 0.009823608 0.0 0.0 0.0 0.0 -0.0045181275 -0.011576843 -0.009896851 -0.004605103 0.0058776857 0.0026000978 0.011279297 0.0017303467 
872 -3.4332275E-4 0.009072877 0.011091614 0.009178162 0.0 0.0 0.0 0.0 -0.0059555057 -0.01321106 -0.011517334 -0.0063583376 0.0053100586 0.002105713 0.010816956 0.0012542725 
874 0.0021789551 0.0112838745 0.012762452 0.010176087 0.0 0.0 0.0 0.0 -0.0041702273 -0.01111908 -0.009393311 -0.003909302 0.0061706547 0.0028701783 0.011489868 0.0018722535 
876 0.0010116578 0.010107422 0.011787415 0.009365845 0.0 0.0 0.0 0.0 -0.0050582886 -0.012117005 -0.01053772 -0.0052871704 0.0056030275 0.002407837 0.011096192 0.0016067505 
878 -6.408692E-5 0.009251404 0.011096192 0.00885315 0.0 0.0 0.0 0.0 -0.004856873 -0.011929322 -0.010171509 -0.0049072267 0.005763245 0.002494812 0.011178589 0.0015106201 
880 -5.996704E-4 0.008734131 0.010610962 0.00844574 0.0 0.0 0.0 0.0 -0.0054107667 -0.012593079 -0.010913086 -0.005635071 0.0061569214 0.0027694702 0.01137085 0.0019271851 
882 3.9367678E-4 0.009571838 0.011242676 0.008944702 0.0 0.0 0.0 0.0 -0.0053741457 -0.012501527 -0.01086731 -0.005671692 0.0045410157 0.0013092041 0.01005249 5.9051515E-4 
884 8.468628E-4 0.009951782 0.011686707 0.009603882 0.0 0.0 0.0 0.0 -0.00493927 -0.012011719 -0.010258484 -0.0049209595 0.0060470584 0.0027420043 0.011434937 0.001940918 
886 0.0020599365 0.011224366 0.012716675 0.010290528 0.0 0.0 0.0 0.0 -0.0048248293 -0.011865235 -0.0101623535 -0.004916382 0.005822754 0.0024627687 0.011228943 0.0017074585 
888 7.0495607E-4 0.009970093 0.01177826 0.009672547 0.0 0.0 0.0 0.0 -0.0046829223 -0.011727906 -0.010098266 -0.004641724 0.0056533813 0.0023757934 0.0110321045 0.00158844 
890 0.0017532349 0.010940552 0.012615968 0.010198975 0.0 0.0 0.0 0.0 -0.0047882083 -0.011819459 -0.010084534 -0.004815674 0.00610199 0.0027145387 0.011416626 0.0017990113 
892 6.225586E-4 0.009709167 0.011595154 0.009388733 0.0 0.0 0.0 0.0 -0.0051223757 -0.012240601 -0.010588074 -0.005204773 0.005557251 0.0023162842 0.010986328 0.001524353 
894 -0.0012405396 0.008139038 0.010038758 0.008010864 0.0 0.0 0.0 0.0 -0.0049484256 -0.012107849 -0.010400391 -0.005067444 0.0055664065 0.0022796632 0.011082458 0.0014465332 
896 -5.493164E-4 0.008656311 0.010482788 0.008276368 0.0 0.0 0.0 0.0 -0.0040512085 -0.011087037 -0.009370423 -0.004046631 0.006481934 0.0032089234 0.011759949 0.0022293092 
898 -5.0354007E-5 0.009182739 0.010922241 0.008816528 0.0 0.0 0.0 0.0 -0.0059188846 -0.013101197 -0.011521912 -0.006289673 0.0049575805 0.0017944337 0.010469056 0.0010253907 
900 0.0020324707 0.011068726 0.012638856 0.010189819 0.0 0.0 0.0 0.0 -0.0048065186 -0.011791993 -0.010075378 -0.0047286986 0.0057403566 0.0024215698 0.011096192 0.00158844 
902 6.4544677E-4 0.009915161 0.011791993 0.009677124 0.0 0.0 0.0 0.0 -0.005223084 -0.012263489 -0.010661316 -0.005383301 0.005607605 0.0023529052 0.011054993 0.0015426637 
904 0.002737427 0.011851502 0.013389587 0.010977173 0.0 0.0 0.0 0.0 -0.0047332766 -0.011700439 -0.009951782 -0.0046188356 0.0052917483 0.0019729615 0.010693359 0.0012084962 
905 0.0016159058 0.01071167 0.012309265 0.009970093 0.0 0.0 0.0 0.0 -0.0048614503 -0.011842347 -0.010139465 -0.0048614503 0.006971741 0.00368042 0.012240601 0.0025863647 
908 -5.447388E-4 0.008757019 0.0108123785 0.008660889 0.0 0.0 0.0 0.0 -0.005168152 -0.012277222 -0.010597229 -0.005433655 0.004852295 0.0015975953 0.010409546 9.5214846E-4 
910 -6.7291263E-4 0.008647156 0.010409546 0.008148193 0.0 0.0 0.0 0.0 -0.005332947 -0.012419129 -0.010743714 -0.0053878785 0.005369568 0.0020736696 0.010908509 0.0014144898 
910 -6.317139E-4 0.008670044 0.0106338505 0.00860138 0.0 0.0 0.0 0.0 -0.0042160037 -0.011192322 -0.009329224 -0.0040008547 0.0060424805 0.0027145387 0.011480713 0.0018447876 
913 0.0023620606 0.01127472 0.012547303 0.009915161 0.0 0.0 0.0 0.0 -0.005360413 -0.012414551 -0.0108078 -0.0054656984 0.005557251 0.0022796632 0.0110321045 0.0014465332 
915 -1.09863286E-4 0.009008789 0.010981751 0.009260559 0.0 0.0 0.0 0.0 -0.0050857547 -0.01203003 -0.010354615 -0.0051361085 0.005635071 0.0023117065 0.0111373905 0.00158844 
917 0.002581787 0.011489868 0.012927246 0.010565186 0.0 0.0 0.0 0.0 -0.0048980713 -0.011920166 -0.01020813 -0.004852295 0.006079102 0.002824402 0.011531067 0.0019775392 
919 0.0014511108 0.010313416 0.012066651 0.009869385 0.0 0.0 0.0 0.0 -0.004742432 -0.011750794 -0.0100158695 -0.004678345 0.005557251 0.0023025514 0.010990906 0.0013687134 
921 -0.0024032593 0.007424927 0.010308838 0.008848572 0.0 0.0 0.0 0.0 -0.0039413455 -0.01086731 -0.009233094 -0.00393219 0.006440735 0.0030853273 0.011741638 0.0022201538 
923 0.001387024 0.0110321045 0.012666321 0.009777832 0.0 0.0 0.0 0.0 -0.0062805177 -0.013508607 -0.011943054 -0.0067794803 0.005030823 0.0018264771 0.010647583 0.001020813 
