# t AFE1_1	AFE1_2	AFE1_3	AFE1_4	AFE2_1	AFE2_2	AFE2_3	AFE2_4	AFE3_1	AFE3_2	AFE3_3	AFE3_4	AFE4_1	AFE4_2	AFE4_3	AFE4_4	
404 -6.4544677E-4 0.008784485 0.011036682 0.009361267 0.0 0.0 0.0 0.0 -0.0054794312 -0.012661744 -0.010899353 -0.005708313 0.005131531 0.0018859864 0.010656739 0.0011489869 
406 3.845215E-4 0.009214783 0.010359192 0.00861969 0.0 0.0 0.0 0.0 -0.0043579102 -0.0113159185 -0.0095123295 -0.00410614 0.0059829713 0.0026504516 0.011416626 0.0018218994 
408 0.0011810303 0.010281372 0.01197052 0.00954895 0.0 0.0 0.0 0.0 -0.0049438477 -0.011997987 -0.010249329 -0.004975891 0.005557251 0.0023849488 0.011073303 0.0014923096 
410 -3.2501222E-4 0.0088943485 0.01086731 0.008757019 0.0 0.0 0.0 0.0 -0.0046737674 -0.011677551 -0.009855652 -0.0045959475 0.0063720704 0.0031173707 0.011746217 0.002078247 
412 0.0022155761 0.011160279 0.012652588 0.010226441 0.0 0.0 0.0 0.0 -0.005204773 -0.0123321535 -0.010620117 -0.005383301 0.004463196 0.0012496948 0.010070801 6.225586E-4 
414 3.112793E-4 0.009539795 0.011686707 0.009484864 0.0 0.0 0.0 0.0 -0.004298401 -0.011329651 -0.009434509 -0.004023743 0.006793213 0.00342865 0.012103272 0.002293396 
417 2.4261475E-4 0.009324647 0.011196899 0.009132385 0.0 0.0 0.0 0.0 -0.0058273314 -0.013027955 -0.011398315 -0.006230164 0.005282593 0.0019729615 0.010775757 0.0012176514 
420 8.010864E-4 0.0099426275 0.011723328 0.009397889 0.0 0.0 0.0 0.0 -0.0055023194 -0.012680054 -0.010995484 -0.005845642 0.0058135986 0.002508545 0.0113159185 0.0017211915 
423 0.0010528564 0.010189819 0.011906434 0.009562683 0.0 0.0 0.0 0.0 -0.004838562 -0.0118286135 -0.0101623535 -0.004779053 0.0057724 0.002581787 0.011439514 0.00184021 
425 8.010864E-4 0.009951782 0.011723328 0.009471131 0.0 0.0 0.0 0.0 -0.004147339 -0.011160279 -0.009393311 -0.004060364 0.006733704 0.0033370974 0.012020875 0.0023254396 
428 4.119873E-5 0.009292603 0.011279297 0.009082031 0.0 0.0 0.0 0.0 -0.0058547975 -0.013124085 -0.011421204 -0.0062805177 0.0045684814 0.0014556885 0.0103408815 7.7819824E-4 
430 7.5988774E-4 0.0099105835 0.011714173 0.009379578 0.0 0.0 0.0 0.0 -0.0058547975 -0.013027955 -0.011329651 -0.006225586 0.004879761 8.3770754E-4 0.009411621 3.3874513E-4 
432 7.6446537E-4 0.009768677 0.011677551 0.009402466 0.0 0.0 0.0 0.0 -0.004801941 -0.011943054 -0.010263062 -0.0049850466 0.0063354494 0.0026275634 0.011132813 0.0013687134 
435 7.919312E-4 0.009988404 0.011746217 0.009516907 0.0 0.0 0.0 0.0 -0.004779053 -0.01187439 -0.010020447 -0.004779053 0.006967163 0.003794861 0.012400818 0.002622986 
437 0.0021789551 0.011164856 0.0126297 0.0099105835 0.0 0.0 0.0 0.0 -0.0049713138 -0.0119338995 -0.010217286 -0.004930115 0.0053100586 0.002078247 0.010972596 0.0015289307 
439 -5.0811766E-4 0.00869751 0.010762024 0.008711243 0.0 0.0 0.0 0.0 -0.005511475 -0.012634277 -0.011018372 -0.005886841 0.00451355 0.0013275146 0.010116577 6.958008E-4 
442 7.324219E-4 0.009828187 0.011672974 0.0095123295 0.0 0.0 0.0 0.0 -0.0039413455 -0.010903931 -0.009017944 -0.0035110475 0.0066741947 0.0033920289 0.012016296 0.0025177002 
444 5.3100585E-4 0.009736634 0.011599732 0.009329224 0.0 0.0 0.0 0.0 -0.0047882083 -0.011805725 -0.010180664 -0.0048477175 0.0060562138 0.0026550293 0.01146698 0.0019134522 
446 4.0740968E-4 0.009507752 0.011384583 0.009237671 0.0 0.0 0.0 0.0 -0.005259705 -0.012313843 -0.0105606085 -0.005282593 0.0046875 0.001437378 0.010221863 7.5073243E-4 
448 7.8735355E-4 0.009915161 0.011645508 0.009407043 0.0 0.0 0.0 0.0 -0.0046691895 -0.011631775 -0.009791565 -0.0045364383 0.006385803 0.0030807497 0.011663819 0.0019363404 
451 -6.7291263E-4 0.008647156 0.010798645 0.008825684 0.0 0.0 0.0 0.0 -0.0059555057 -0.0133071905 -0.011499024 -0.0063583376 0.0056259157 0.0022613525 0.011054993 0.0014236451 
453 -3.2501222E-4 0.008876038 0.010913086 0.008843995 0.0 0.0 0.0 0.0 -0.0060653687 -0.013261414 -0.011668396 -0.0065689087 0.0056900023 0.0023941041 0.011192322 0.0015930176 
455 1.5563965E-4 0.009347535 0.011306763 0.009077454 0.0 0.0 0.0 0.0 -0.004522705 -0.011476136 -0.009750366 -0.004385376 0.005644226 0.0023483278 0.010981751 0.0014282226 
